BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
100001,303060001.0,1 lovejoy wharf boston  realty llc,160  170 n washington st,boston,2114.0,160  170 n washington st,boston,2114.0,236688.0,,Office,"Office (231408.0),Retail Store (5280.0)",67,60.0,15857190.6,3634294.3,193017.37,3582326.0,734878.356,,,,,,,,,,,,,,,,,,,,,,10.59,in compliance,927895.726,2025.0,No,No,No,No,No,No,,
100002,304794000.0,10 temple place lp,2-24 temple pl,boston,2111.0,24  2 temple pl,boston,2111.0,135344.0,,Multifamily Housing,"Personal Services (Health/Beauty, Dry Cleaning, etc) (1129.0),Restaurant (1552.0),Multifamily Housing (127684.0),Medical Office (2145.0),Supermarket/Grocery Store (2834.0)",55.6,,7523053.3,4848580.8,257508.126,783843.1,160797.574,,,,,,,,,,,,,,,,,,,,,,39.02,in compliance,418305.7,2025.0,No,No,No,No,No,No,,
100003,602757045.0,10-20 channel center,20 channel center st,boston,2127.0,20  30 channel center st,boston,2127.0,255383.0,,Office,Office (255383.0),37.3,75.0,9516723.5,,,2789192.0,572174.847,,,,,,,,,,,,,,,,,,,,,,5.76,in compliance,572174.847,2025.0,No,No,No,No,No,No,,
100005,304718000.0,10-24 school street,24 school st,boston,2108.0,12 province st,boston,2108.0,134789.0,,Office,"Office (108140.0),Data Center (361.0),Retail Store (26288.0)",55.3,84.0,7451448.8,0.0,,1104306.0,226537.333,,,,,,3683557.7,203332.385,,,,,,,,,,,,,,,4.47,in compliance,429869.718,2025.0,No,No,No,No,No,No,,
100007,304408000.0,100 high owner llc,100 high st,boston,2110.0,100 high st,boston,2110.0,550326.0,94644.0,Office,"Office (540040.0),Data Center (400.0),Other - Restaurant/Bar (9886.0),Parking (94644.0)",50.6,,27828470.2,,,8156058.0,1673133.738,,,,,,,,,,,,,,,,,,,,,,6.59,in compliance,1673133.738,2025.0,No,No,No,No,No,No,,
100008,602671039.0,100 northern avenue llc,90  110 northern av,boston,2210.0,90  110 northern av,boston,2210.0,572998.0,166100.0,Office,"Restaurant (5726.0),Office (565598.0),Data Center (1674.0),Parking (166100.0)",83.5,50.0,47853912.7,16343111.1,867982.631,9235288.0,1894526.98,,,,,,,,,,,,,,,,,,,,,,10.14,in compliance,2762509.611,2025.0,No,No,No,No,No,No,,
100009,304220000.0,100 summer owner llc,100 summer st,boston,2110.0,100 summer st,boston,2110.0,1113465.0,21580.0,Office,"Office (1108725.0),Parking (21580.0),Fast Food Restaurant (4740.0)",58.1,75.0,64688215.1,,,11708040.0,2401787.326,,,,,,24740373.8,1365668.634,,,,,,,,,,,,,,,6.93,in compliance,3767455.96,2025.0,No,No,No,No,No,No,,
100011,306234010.0,,1000-1020 washington st,boston,2118.0,321 harrison av,boston,2118.0,239877.0,0.0,Laboratory,"Laboratory (239877.0),Parking (105000.0)",51.3,,12314964.6,1453612.9,77201.381,3183280.0,653018.059,,,,,,,,,,,,,,,,,,,,,,,in compliance,730219.44,2025.0,Yes,No,No,No,Yes,Yes,,
100013,1001625010.0,101 huntington owner (de)  llc,101 s huntington ave,boston,2199.0,105 s huntington av,boston,2199.0,204050.0,68250.0,Multifamily Housing,"Multifamily Housing (202450.0),Electric Vehicle Charging Station (0.0),Swimming Pool (0.0),Parking (68250.0),Other (1600.0)",33.2,100.0,6766543.1,4094421.7,217454.736,783154.0,160656.212,,,,,,,,,,,,,,,,,,,,,,16.64,pending revisions,378110.948,2025.0,No,No,No,No,No,No,,
100014,301675000.0,101 merrimac owner llc,101 merrimac st,boston,2114.0,101 merrimac st,boston,2114.0,162664.0,14627.0,Office,"Office (162664.0),Parking (14627.0)",43.5,88.0,7083461.6,583086.4,30967.719,1905151.0,390822.676,,,,,,,,,,,,,,,,,,,,,,5.31,in compliance,421790.395,2025.0,No,No,No,No,No,No,,
